username,usercomment
腾讯用户1461324482274752,[四爷吻我]
腾讯用户1461324482274752,[赞][四爷求抱抱]
优酷用户1473063610282284,哈哈哈就算是女贼和琴师爽儿和肖奈还是很养眼啊
ykapp_hrf916vy,啊啊啊啊啊啊啊我肖奈帅炸了
腾讯用户1472832487566288,[赞][赞][赞][赞][赞][赞][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][牛][牛][牛][牛][牛][牛][强][强][强][强][强][强]
腾讯用户1467697339434455,网络不好[难过][难过]
微信用户1473864744767884,认真的男人最帅[赞]
微信用户1473916978069413,讨厌二喜的点赞
腾讯用户1471687103317302,杨洋太帅了
夏沐颜晴,杨洋就是神还原肖奈啊，太赞了。作为书粉的我，简直无法挑剔。郑爽演的也不错。总之完美的一部剧，杨洋一跃成为我的第一男神了～～～～[稀饭][稀饭][稀饭]
优酷用户1473952827837623,好喜欢肖奈，大神
土豆用户_381953698,[稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭]
躲不过的纠葛ら56081543,洞房
腾讯用户1469804524997963,不要在意这些小细节啦
躲不过的纠葛ら56081543,大气
微信用户1468814275799249,太棒了
土豆用户_825686408,杨洋的衣服穿帮了。怎么一转眼就穿了黑白条纹了。
AmoxiDu,杨洋还好，郑爽的演技不忍直视……
微信用户1473429583907885,很期待杨洋的三生三世十里桃花
Jesns,😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😌
