salary_min,description,title,salary_max,applications,page_number,location,published,link,found,id
30000.0,"Python  Developer / Engineer £30-40K. Our client based in Manchester is looking to employ an experience  Python  Developer. You will be working in a fast-paced, informal environment with a kanban approach to agile development. The company is building a retail analytics and interior location system which...",Python Developer / Engineer £30-40K - Manchester,40000.0,0,2,Manchester,2014-12-05T00:00:00,http://www.reed.co.uk/jobs/python-developer-engineer-30-40k-manchester/26155815#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.605170,26155815
20000.0," JUNIOR DEVELOPER/ENGINEER - SOFTWARE HOUSE  Graduate, Graduate developer, graduate engineer, Java, C#, C,  Python , Scala, Software developer, Bristol  An award winning software house based in Bristol is looking to take on numerous bright graduates to join their software development team. They create industry...","Graduate Software Developer - Java, C#, Python, Scala",25000.0,8,2,Bristol,2014-12-04T00:00:00,http://www.reed.co.uk/jobs/graduate-software-developer-java-c-python-scala/26150402#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.608098,26150402
25000.0,Linux Systems Administrator Junior DevOps Engineer Perl  Python  Java Company: Linux Infrastructure & Cloud Development & Integrations Consultancy Salary: £Neg on exp but c£20-37k Junior Linux Systems Administrator to work across a wide spectrum of Linux Systems which may include working on the...,Linux Systems Administrator Junior DevOps Engineer Perl Python J,36000.0,5,2,London,2014-12-04T00:00:00,http://www.reed.co.uk/jobs/linux-systems-administrator-junior-devops-engineer-perl-python-j/26149662#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.610799,26149662
,"   Python  Developer   London - £Excellent plus 10% bonus and benefits  I am looking for a  Python  developer for a company in central London. The role involves working as part of a team on the architecture and development of a web crawling application in  Python . In addition, you will be working with theproduct...",Python Developer - Work from home!,,5,2,London,2014-12-04T00:00:00,http://www.reed.co.uk/jobs/python-developer-work-from-home/25775003#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.614055,25775003
108000.0," Architect, Linux, DevOps, Java, C++,  Python , Ruby, AWS, Big Data, Hadoop  My exclusive client are recruiting for a strong Linux / Software Architect contractor in Manchester.  You must have strong experience of Architecture, DevOps, Linux and you will have also come from a development background. OO...","Software Architect - DevOps, Linux, Java, Python, Big Data",120000.0,0,2,Manchester,2014-12-03T00:00:00,http://www.reed.co.uk/jobs/software-architect-devops-linux-java-python-big-data/26143893#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.616357,26143893
30000.0,Are you looking for a  Python  developer position based in the City of London?  I am recruiting for a start up company in the social media who are looking to add to a close knit team that will grow with the company.  The candidate will have a minimum of two years of  Python  and Django experience whilst having...,Python Developer,50000.0,5,2,London,2014-12-03T00:00:00,http://www.reed.co.uk/jobs/python-developer/26143606#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.618768,26143606
,   Python  / Java Developer Glasgow   Experienced Java Developer required for an Innovative project which will see the re-engineering of the Technology Stack in order to bring the technology up to date and increase any innovation potential.  The Java developer will work in an Agile /Scrum environment which...,Python / Java Developer,,0,3,Glasgow,2014-12-03T00:00:00,http://www.reed.co.uk/jobs/python-java-developer/26142962#/jobs?keywords=python&cached=True&pageno=3,2014-12-26T21:54:41.297539,26142962
30000.0,"  Linux Software Engineer - £30k to £50k Benefits + 10% bonus  A Server Software Engineer - Java, C#, C++, Ruby or  Python  is required to join an innovative and highly data driven organisation. This company is truly at the cutting edge of their industry. You will get the chance to work with a talented...","Server Software Engineer - Java, C#, C++, Ruby or Python",50000.0,2,3,Manchester,2014-12-03T00:00:00,http://www.reed.co.uk/jobs/server-software-engineer-java-c-c-ruby-or-python/26140565#/jobs?keywords=python&cached=True&pageno=3,2014-12-26T21:54:41.299738,26140565
108000.0," My exclusive client are recruiting for a strong Software Architect contractor in Manchester. This client are looking for an immediate start and the contract role could last for anything from 3 - 12 months depending on how the project progresses.  You must have strong experience of Architecture, DevOps...","Software Architect - DevOps, Linux, Java, Python, Big Data",120000.0,2,3,Manchester,2014-12-03T00:00:00,http://www.reed.co.uk/jobs/software-architect-devops-linux-java-python-big-data/26139329#/jobs?keywords=python&cached=True&pageno=3,2014-12-26T21:54:41.301963,26139329
27000.0," JUNIOR DEVELOPER/ENGINEER - SOFTWARE HOUSE  Graduate, Graduate developer, graduate engineer, Java, C#, C,  Python , Scala, Software developer  An award winning software house based in Reading is looking to take on numerous bright graduates to join their software development team. They create industry leading...","Graduate Software Developer - Java, C#, Python, Scala",35000.0,8,3,Reading,2014-12-03T00:00:00,http://www.reed.co.uk/jobs/graduate-software-developer-java-c-python-scala/26138026#/jobs?keywords=python&cached=True&pageno=3,2014-12-26T21:54:41.304178,26138026
